Diagram-ID,Page-Number,Image-Index,Image-Path,Modified-Alt-Text
32,49,0,images/page0049_img000.png,"Scatter plot titled “Train Motion.” The x-axis is time (min) from 0 to 70, and the y-axis is distance from station (km) from 0 to 160. Red data points show distance increasing over time."
33,50,0,images/page0050_img000.png,"Scatter plot titled “Train Motion” with red data points and a straight red trend line drawn upward from left to right. The x-axis is time (min) and the y-axis is distance from station (km). The line can be used to estimate slope (rate of change) and the y-intercept where it crosses the y-axis."
34,51,0,images/page0051_img000.png,"Four example graphs showing common relationships: linear (straight line), quadratic (curved parabola), inverse (decreasing curve that levels off), and exponential (rapidly increasing or decreasing curve). Use the shapes to match a dataset to a relationship type."
35,52,0,images/page0052_img000.png,"Two-panel figure showing logarithmic scales. (a) “Richter Scale: A Graphic Representation.” The x-axis is earthquake magnitude (about −1 to 9) and the y-axis is amplified maximum ground motion in microns on a base-10 log scale (about 10^−1 to 10^9). A red curve rises sharply: very small magnitudes near 0–2 are labeled “Not felt,” around 4 is “Minor,” 5 “Small,” 6 “Moderate,” 7 “Strong,” 8 “Major,” and near 9 “Great.” (b) Log–log plot of frequency (s^−1) versus wavelength (cm), with red points lying on a straight downward-sloping red line, showing frequency decreasing as wavelength increases."
36,64,0,images/page0064_img000.png,"Line graph of water temperature over time. Temperature rises from near room temperature to about boiling, then levels off near the boiling temperature. Use the y-intercept to read the starting temperature and the slope to see how quickly temperature changes."
43,73,0,images/page0073_img000.png,"East–west number line with sign convention (east positive, west negative). A displacement of −3 km points west from the start, then a displacement of +2 km points east. Add the signed displacements to find the net change from initial to final position."
45,77,0,images/page0077_img000.png,"Round trip diagram from Home to Store and back. The two path arrows show equal distances in opposite directions (total distance is the sum of both legs). A separate note indicates the start and end are the same location, so net displacement is zero."
46,78,0,images/page0078_img000.png,"Segmented motion diagram along one axis. Multiple displacement vectors (Δd_a, Δd_b, Δd_c, Δd_d) show parts of a trip in different directions. A final vector Δd_total shows the overall displacement from the initial position d0 to the final position df (vector sum of segments)."
47,82,0,images/page0082_img000.png,"Diagram explaining y = mx + b. A straight line crosses the y-axis at b (y-intercept). A rise/run triangle shows slope m as Δy/Δx. Use rise and run to calculate the slope and use the axis crossing to identify the intercept."
49,83,0,images/page0083_img000.png,"Position vs time graph for a vehicle moving at constant speed. A straight line is labeled in the form d = d0 + vt. The y-intercept marks the initial position d0, and a slope triangle shows v = Δd/Δt using two points on the line."
50,85,0,images/page0085_img000.png,"Position vs time graph where the curve becomes steeper over time (speeding up). Two points on the curve are marked, each with a small tangent-slope triangle. Compare the triangles to see that instantaneous velocity (slope) is larger at the later point."
52,86,0,images/page0086_img000.png,"Position vs time graph with data points connected by a slightly upward-curving line. The slope increases gradually, indicating velocity increases over time. Estimate velocity at a time by finding the local slope of the curve."
53,86,1,images/page0086_img001.png,"Position vs time graph with points forming an increasing curve that becomes steeper. The increasing steepness indicates increasing velocity. Use the slope at a chosen time to estimate instantaneous velocity."
54,88,0,images/page0088_img000.png,"Position vs time graph for a trip away from home and back. The line rises to a maximum position (farthest point) then falls back to zero position. Positive slope indicates moving away; negative slope indicates returning."
55,88,1,images/page0088_img001.png,"Velocity vs time graph for the same round trip. A horizontal segment at positive velocity indicates constant speed away from home, then the graph jumps to a horizontal segment at negative velocity for constant speed back. Use the sign to determine direction."
56,89,0,images/page0089_img000.png,"Position vs time curve that steepens with time, showing increasing velocity. Two points on the curve have slope triangles; the later triangle is steeper, indicating a larger instantaneous velocity later."
57,90,0,images/page0090_img000.png,"Velocity vs time graph with a straight rising line, showing velocity increases linearly with time. The constant slope represents constant acceleration. Pick any two points on the line to compute acceleration as Δv/Δt."
58,91,0,images/page0091_img000.png,"Velocity vs. time graph titled “Jet Car Velocity.” The green curve starts near 165 m/s at t = 0 s, rises quickly, then levels off near 250 m/s by about 50–70 s. A black line is drawn as an approximate tangent/line of best fit, overlapping the green curve most closely around t ≈ 25–35 s (v ≈ 235–245 m/s). A slope box is drawn with Δt along the horizontal and Δv along the vertical, and the top-right corner is near t ≈ 50 s and v ≈ 260 m/s."
60,93,0,images/page0093_img000.png,"Velocity vs time graph that rises from zero to a constant value, stays flat, then decreases back to zero. Net displacement is the total area under the curve (triangle + rectangle + triangle)."
61,96,0,images/page0096_img000.png,"Position vs time graph for a runner. The line rises (moving forward) then becomes horizontal (stopped). Use the slope to determine velocity: positive on the rising segment and zero on the flat segment."
62,97,0,images/page0097_img000.png,"Qualitative velocity–time sketch on axes labeled v (vertical) and t (horizontal). The graph begins with a horizontal segment at positive velocity, then drops with a steep downward slope, followed by a longer section with a gentler downward slope until it reaches v = 0 on the time axis."
63,98,0,images/page0098_img000.png,"Position vs time curve labeled with points. The curve rises but gradually flattens, meaning the object keeps moving forward while slowing down. Instantaneous velocity corresponds to slope at each point."
64,98,1,images/page0098_img001.png,"Position vs time curve with several peaks and valleys labeled. Slope is positive where the curve rises and negative where it falls; slope is zero at local maxima and minima. Use steepness to compare instantaneous speeds at different points."
